dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
domingo,Final,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
domingo,Final,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
terça,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
terça,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
terça,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
terça,Pico,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 44-55"
terça,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
terça,Final,Buscar,"Borda Nao","Refri Sim","vl 14-18","tp 22-33"
terça,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
quarta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quarta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
quarta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quarta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quarta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quarta,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quarta,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
quarta,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
quarta,Pico,Buscar,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Inicio,Buscar,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
quinta,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quinta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
quinta,Pico,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 44-55"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
quinta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
quinta,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
sexta,Pico,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 22-33"
sábado,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sábado,Pico,buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 14-18","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 10-22"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
sábado,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sábado,Final,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Final,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 22-33"
domingo,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
domingo,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 22-33"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 10-22"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
domingo,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 22-33"
domingo,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
domingo,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
domingo,Final,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
terça,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 10-22"
terça,Pico,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
quarta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quarta,Inicio,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Inicio,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 44-55"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quinta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
quinta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Pico,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
quinta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quinta,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
quinta,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
quinta,Final,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
sexta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Buscar,"Borda Sim","Refri Sim","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"Borda Sim","Refri Sim","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 10-22"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Inicio,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
sábado,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
sábado,Inicio,Buscar,"Borda Sim","Refri Nao","vl 34-38","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 10-14","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
sábado,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
sábado,Final,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sábado,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Final,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sábado,Final,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
domingo,Inicio,Buscar,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
domingo,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 10-22"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
domingo,Inicio,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 10-22"
domingo,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
domingo,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
domingo,Pico,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 10-22"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 44-55"
domingo,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
domingo,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
domingo,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
terça,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
terça,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 10-22"
terça,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
terça,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
terça,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 44-55"
terça,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
terça,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
terça,Final,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
terça,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
terça,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
terça,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Inicio,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
quarta,Inicio,Buscar,"Borda Nao","Refri Sim","vl 26-30","tp 44-55"
quarta,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
quarta,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Sim","Refri Sim","vl 30-34","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 10-22"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 10-22"
quarta,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 22-33"
quarta,Pico,Buscar,"Borda Sim","Refri Nao","vl 22-26","tp 44-55"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quarta,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quarta,Pico,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
quarta,Pico,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 33-44"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 10-22"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quarta,Final,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 44-55"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 10-22"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 33-44"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
quarta,Final,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 33-44"
quarta,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
quinta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
quinta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quinta,Pico,Buscar,"Borda Sim","Refri Nao","vl 38-42","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Inicio,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
sexta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sexta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sexta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,buscar,"Borda Nao","Refri Nao","vl 18-22","tp 10-22"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 14-18","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Sim","Refri Sim","vl 38-42","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 22-33"
sexta,Pico,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Final,buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 22-33"
sexta,Pico,Buscar,"Borda Nao","Refri Sim","vl 30-34","tp 44-55"
sexta,Final,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 44-55"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sexta,Final,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
sexta,Final,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sábado,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 10-22"
sábado,Inicio,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Sim","vl 26-30","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 10-22"
sábado,Pico,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"Borda Sim","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
